Delta;theta;low alpha; high alpha; low beta; high beta; low gamma; mid gamma
603354;35014;154969;86114;47837;41381;38308;6542
1517669;442606;209929;181623;270298;159944;67457;9905
248468;141269;26944;95992;38221;483313;243557;4385
125046;84576;75559;57771;53025;605829;201285;10676
1073923;292271;67536;28011;17300;188983;393604;3872
1717901;320541;110703;108369;65619;258940;132774;3192
641153;440860;23032;113242;48847;179001;165416;5726
58479;12043;8627;32086;16432;136063;91941;2002
54121;32149;19871;14067;10552;112514;82975;14602
894984;150006;46077;27274;43485;101274;173739;49314
676058;265560;152903;45420;30257;129127;92336;110516
481764;23286;50408;22801;3854;45966;53821;11102
416870;76008;41433;40618;34796;654288;348333;142301
297352;61355;16294;156171;41987;572604;490789;245880
437687;60389;32829;238562;118767;404614;598100;207092
337746;45992;12699;105672;48425;417107;286066;54796
129357;12754;17731;9983;11723;407174;48372;19596
1025216;336437;7118;89919;30286;160463;96720;58677
708127;129499;46307;34222;75022;133631;340408;66230
1380446;232642;48397;13530;47598;199444;87185;37510
1120636;218890;23237;17401;18978;344659;197015;39824
1530351;28191;75427;36604;56917;674816;301503;91784
677269;61222;23811;47943;23628;316733;348170;54392
451603;39191;54421;201632;87811;354603;626086;274682
464802;93343;24633;137143;37065;451436;242940;48460
69925;13602;34404;17114;10564;376789;81856;18531
641153;440860;23032;113242;48847;179001;165416;5726
58479;12043;8627;32086;16432;136063;91941;2002
54121;32149;19871;14067;10552;112514;82975;14602
894984;150006;46077;27274;43485;101274;173739;49314
676058;265560;152903;45420;30257;129127;92336;110516
481764;23286;50408;22801;3854;45966;53821;11102
416870;76008;41433;40618;34796;654288;348333;142301
2754;17731;9983;11723;407174;48372;19596;1231231
1025216;336437;7118;89919;30286;160463;96720;58677
708127;129499;46307;34222;75022;133631;340408;66230
1380446;232642;48397;13530;47598;199444;87185;37510
1120636;218890;23237;17401;18978;344659;197015;39824
1530351;28191;75427;36604;56917;674816;301503;91784
677269;61222;23811;47943;23628;316733;348170;54392
451603;39191;54421;201632;87811;354603;626086;274682
464802;93343;24633;137143;37065;451436;242940;48460
